"编号","开始答题时间","结束答题时间","答题时长","1.您的年龄是","2.您的性别？","3.您的职业？","3.您的职业？[选项填空]","4.我对人多的聚会感到乏味","5.我不太关心别人是否受到不公正的待遇","6.在工作上，我常只求能应付过去便可","7.我很愿意也很容易接受那些新事物、新观点、新想法","8.我希望成为领导者而不是被领导者","9.别人一句漫不经心的话，我常会联系在自己身上","10.想象一个理想的周末，你更倾向于？","11.回顾过去的一个月，你的整体感受更接近？","12.当面临一个重要的、充满不确定性的决定时，你首先会？","13.当一个项目截止日期临近时，你更可能是？","14.对你来说，以下哪项是获得幸福感的关键？","15.最后能否告知我们您最近一次测得的mbti？","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"12","15-Jul-2025 12:37:03","15-Jul-2025 12:37:22","19","E.45-54","A.男","C.自由职业/创业者","","C.有点不符合","C.有点不符合","D.有点符合","C.有点不符合","B.大部分不符合","C.有点不符合","B.独自或与一两位挚友深入交谈，享受宁静时光。","C.感到压力较大，时常有些焦虑或低落。","B.尽可能多地收集信息，分析所有利弊，谨慎决策。","C.最后一刻灵感迸发，集中精力高效完成。","B.不断学习新知识，体验世界的多样性。","intp","简体中文","未清洗","","中国","北京市","北京市","","240e:404:1a20:6c6e:814e:d218:eba3:a1ce","Mozilla/5.0 (Linux; Android 11; PDVM00 Build/RKQ1.201217.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 MMWEBID/9101 MicroMessenger/8.0.61.2860(0x28003D33) WeChat/arm64 Weixin NetType/4G Language/zh_CN","",
"11","15-Jul-2025 12:35:51","15-Jul-2025 12:37:01","70","B.18-24","B.女","A.学生","","B.大部分不符合","C.有点不符合","B.大部分不符合","E.完全符合","C.有点不符合","A.完全不符合","C.学习一项新技能，或去博物馆、看一部有深度的电影。","B.大体平静，但偶尔会感到疲惫或无聊。","B.尽可能多地收集信息，分析所有利弊，谨慎决策。","B.按部就班地进行，能在截止日期前完成。","B.不断学习新知识，体验世界的多样性。","intj","简体中文","未清洗","","中国","北京市","北京市","","124.126.102.71","Mozilla/5.0 (Linux; Android 14; LSA-AN00 Build/HONORLSA-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.136 Mobile Safari/537.36 XWEB/1340135 MMWEBSDK/20250503 MMWEBID/9753 MicroMessenger/8.0.61.2880(0x28003D3C) WeChat/arm64","",
"10","15-Jul-2025 12:36:06","15-Jul-2025 12:36:37","31","F.55岁以上","A.男","D.其他____________","","E.完全符合","C.有点不符合","B.大部分不符合","D.有点符合","C.有点不符合","D.有点符合","B.独自或与一两位挚友深入交谈，享受宁静时光。","D.像在坐过山车，情绪起伏很大。","B.尽可能多地收集信息，分析所有利弊，谨慎决策。","D.感到非常紧张，效率反而下降。","B.不断学习新知识，体验世界的多样性。","enfj","简体中文","未清洗","","中国","北京市","北京市","","240e:404:1a20:6c6e:814e:d218:eba3:a1ce","Mozilla/5.0 (Linux; Android 11; PDVM00 Build/RKQ1.201217.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 MMWEBID/9101 MicroMessenger/8.0.61.2860(0x28003D33) WeChat/arm64 Weixin NetType/4G Language/zh_CN","",
"9","15-Jul-2025 12:35:28","15-Jul-2025 12:35:50","22","E.45-54","B.女","C.自由职业/创业者","","D.有点符合","D.有点符合","D.有点符合","C.有点不符合","E.完全符合","D.有点符合","C.学习一项新技能，或去博物馆、看一部有深度的电影。","C.感到压力较大，时常有些焦虑或低落。","D.感到非常焦虑和压力山大，难以抉择。","C.最后一刻灵感迸发，集中精力高效完成。","D.内心的平静和对当下的满足感。","enfj","简体中文","未清洗","","中国","北京市","北京市","","240e:404:1a20:6c6e:814e:d218:eba3:a1ce","Mozilla/5.0 (Linux; Android 11; PDVM00 Build/RKQ1.201217.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 MMWEBID/9101 MicroMessenger/8.0.61.2860(0x28003D33) WeChat/arm64 Weixin NetType/4G Language/zh_CN","",
"8","15-Jul-2025 12:34:47","15-Jul-2025 12:35:06","19","A.18岁以下","B.女","A.学生","","C.有点不符合","C.有点不符合","B.大部分不符合","B.大部分不符合","C.有点不符合","C.有点不符合","B.独自或与一两位挚友深入交谈，享受宁静时光。","B.大体平静，但偶尔会感到疲惫或无聊。","B.尽可能多地收集信息，分析所有利弊，谨慎决策。","B.按部就班地进行，能在截止日期前完成。","B.不断学习新知识，体验世界的多样性。","enfj","简体中文","未清洗","","中国","北京市","北京市","","240e:404:1a20:6c6e:814e:d218:eba3:a1ce","Mozilla/5.0 (Linux; Android 11; PDVM00 Build/RKQ1.201217.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 MMWEBID/9101 MicroMessenger/8.0.61.2860(0x28003D33) WeChat/arm64 Weixin NetType/4G Language/zh_CN","",
"7","15-Jul-2025 12:33:37","15-Jul-2025 12:34:44","67","B.18-24","B.女","A.学生","","E.完全符合","C.有点不符合","D.有点符合","E.完全符合","B.大部分不符合","A.完全不符合","C.学习一项新技能，或去博物馆、看一部有深度的电影。","B.大体平静，但偶尔会感到疲惫或无聊。","B.尽可能多地收集信息，分析所有利弊，谨慎决策。","C.最后一刻灵感迸发，集中精力高效完成。","D.内心的平静和对当下的满足感。","intp","简体中文","未清洗","","中国","河南省","洛阳市","","2409:8a47:1b13:9880:55e5:79c9:d023:7c15","Mozilla/5.0 (Linux; Android 15; V2417A Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.63 Mobile Safari/537.36 XWEB/1380035 MMWEBSDK/20250503 MMWEBID/316 MicroMessenger/8.0.61.2880(0x28003D3C) WeChat/arm6","",
"6","15-Jul-2025 12:33:09","15-Jul-2025 12:33:32","23","B.18-24","B.女","C.自由职业/创业者","","C.有点不符合","D.有点符合","A.完全不符合","B.大部分不符合","A.完全不符合","D.有点符合","B.独自或与一两位挚友深入交谈，享受宁静时光。","D.像在坐过山车，情绪起伏很大。","B.尽可能多地收集信息，分析所有利弊，谨慎决策。","C.最后一刻灵感迸发，集中精力高效完成。","C.掌控自己的生活，实现个人目标。","infp","简体中文","未清洗","","中国","北京市","北京市","","240e:404:1a20:6c6e:814e:d218:eba3:a1ce","Mozilla/5.0 (Linux; Android 11; PDVM00 Build/RKQ1.201217.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 MMWEBID/9101 MicroMessenger/8.0.61.2860(0x28003D33) WeChat/arm64 Weixin NetType/4G Language/zh_CN","",
"5","15-Jul-2025 12:31:43","15-Jul-2025 12:32:04","21","D.35-44","A.男","C.自由职业/创业者","","C.有点不符合","C.有点不符合","D.有点符合","C.有点不符合","D.有点符合","E.完全符合","B.独自或与一两位挚友深入交谈，享受宁静时光。","C.感到压力较大，时常有些焦虑或低落。","C.咨询朋友和家人的意见，非常看重他们的看法。","C.最后一刻灵感迸发，集中精力高效完成。","C.掌控自己的生活，实现个人目标。","intp","简体中文","未清洗","","中国","北京市","北京市","","240e:404:1a20:6c6e:814e:d218:eba3:a1ce","Mozilla/5.0 (Linux; Android 11; PDVM00 Build/RKQ1.201217.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 MMWEBID/9101 MicroMessenger/8.0.61.2860(0x28003D33) WeChat/arm64 Weixin NetType/4G Language/zh_CN","",
"4","15-Jul-2025 12:30:57","15-Jul-2025 12:32:00","63","B.18-24","A.男","A.学生","","E.完全符合","E.完全符合","E.完全符合","E.完全符合","D.有点符合","A.完全不符合","C.学习一项新技能，或去博物馆、看一部有深度的电影。","D.像在坐过山车，情绪起伏很大。","B.尽可能多地收集信息，分析所有利弊，谨慎决策。","C.最后一刻灵感迸发，集中精力高效完成。","B.不断学习新知识，体验世界的多样性。","Enfj","简体中文","未清洗","","中国","上海市","上海市","","240e:46d:6200:187e:9d6b:bbd7:71c4:5a60","Mozilla/5.0 (Linux; Android 12; HBN-AL00 Build/HUAWEIHBN-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.136 Mobile Safari/537.36 XWEB/1340135 MMWEBSDK/20250503 MMWEBID/5089 MicroMessenger/8.0.61.2880(0x28003D3C) WeChat/arm6","",
"3","15-Jul-2025 12:30:40","15-Jul-2025 12:31:04","24","D.35-44","B.女","B.公司/企业职员","","B.大部分不符合","B.大部分不符合","B.大部分不符合","C.有点不符合","B.大部分不符合","D.有点符合","B.独自或与一两位挚友深入交谈，享受宁静时光。","B.大体平静，但偶尔会感到疲惫或无聊。","B.尽可能多地收集信息，分析所有利弊，谨慎决策。","C.最后一刻灵感迸发，集中精力高效完成。","B.不断学习新知识，体验世界的多样性。","infj","简体中文","未清洗","","中国","北京市","北京市","","240e:404:1a20:6c6e:814e:d218:eba3:a1ce","Mozilla/5.0 (Linux; Android 11; PDVM00 Build/RKQ1.201217.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 MMWEBID/9101 MicroMessenger/8.0.61.2860(0x28003D33) WeChat/arm64 Weixin NetType/4G Language/zh_CN","",
"2","15-Jul-2025 12:28:34","15-Jul-2025 12:28:57","23","C.25-34","A.男","C.自由职业/创业者","","C.有点不符合","C.有点不符合","B.大部分不符合","B.大部分不符合","C.有点不符合","B.大部分不符合","B.独自或与一两位挚友深入交谈，享受宁静时光。","B.大体平静，但偶尔会感到疲惫或无聊。","B.尽可能多地收集信息，分析所有利弊，谨慎决策。","B.按部就班地进行，能在截止日期前完成。","B.不断学习新知识，体验世界的多样性。","entj","简体中文","未清洗","","中国","北京市","北京市","","240e:404:1a20:6c6e:814e:d218:eba3:a1ce","Mozilla/5.0 (Linux; Android 11; PDVM00 Build/RKQ1.201217.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 MMWEBID/9101 MicroMessenger/8.0.61.2860(0x28003D33) WeChat/arm64 Weixin NetType/4G Language/zh_CN","",
"1","15-Jul-2025 12:22:00","15-Jul-2025 12:26:22","262","B.18-24","B.女","A.学生","","B.大部分不符合","B.大部分不符合","C.有点不符合","E.完全符合","D.有点符合","D.有点符合","A.和一群朋友聚会，参加热闹的活动。","C.感到压力较大，时常有些焦虑或低落。","B.尽可能多地收集信息，分析所有利弊，谨慎决策。","B.按部就班地进行，能在截止日期前完成。","B.不断学习新知识，体验世界的多样性。","enfj","简体中文","未清洗","","中国","北京市","北京市","","240e:404:1a20:6c6e:814e:d218:eba3:a1ce","Mozilla/5.0 (Linux; Android 11; PDVM00 Build/RKQ1.201217.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 MMWEBID/9101 MicroMessenger/8.0.61.2860(0x28003D33) WeChat/arm64 Weixin NetType/4G Language/zh_CN","",
